ID_MS,ID_new
Goleta_I,Env-Piers_Goleta_I_DOM_I
Goleta_II,Env-Piers_Goleta_I_DOM_II
Goleta_III,Env-Piers_Goleta_I_DOM_III
Newport_Beach_I,Env-Piers_NewportBeach_I_DOM_I
Newport_Beach_II,Env-Piers_NewportBeach_I_DOM_II
Newport_Beach_III,Env-Piers_NewportBeach_I_DOM_III
Newport_Beach_Melissa_I,Env-Piers_NewportBeach_M_DOM_I
Newport_Beach_Melissa_II,Env-Piers_NewportBeach_M_DOM_II
Newport_Beach_Melissa_III,Env-Piers_NewportBeach_M_DOM_III
Santa_Monica_I,Env-Piers_SantaMonica_I_DOM_I
Santa_Monica_II,Env-Piers_SantaMonica_I_DOM_II
Santa_Monica_III,Env-Piers_SantaMonica_I_DOM_III
Scripps_I,Env-Piers_Scripps_I_DOM_I
Scripps_II,Env-Piers_Scripps_I_DOM_II
Scripps_III,Env-Piers_Scripps_I_DOM_III
Scripps_Melissa_I,Env-Piers_Scripps_M_DOM_I
Scripps_Melissa_II,Env-Piers_Scripps_M_DOM_II
Scripps_Melissa_III,Env-Piers_Scripps_M_DOM_III
Scripps_Neal_I,Env-Piers_Scripps_N_DOM_I
Scripps_Neal_II,Env-Piers_Scripps_N_DOM_II
Scripps_Neal_III,Env-Piers_Scripps_N_DOM_III
Stearn_Wharf_I,Env-Piers_StearnWharf_I_DOM_I
Stearn_Wharf_II,Env-Piers_StearnWharf_I_DOM_II
Stearn_Wharf_III,Env-Piers_StearnWharf_I_DOM_III
Pn_delicatessima6_100mL_DOM,Exp1_Pn-delicatissima_A_DOM_100
Pn_delicatessima6_50mL_DOM,Exp1_Pn-delicatissima_A_DOM_50
Pn_delicatessima6_50mL_unfil,Exp1_Pn-delicatissima_A_Unfil_50
Pn_skinny13_100mL_DOM,Exp1_Pn-delicatissima_B_DOM_100
Pn_skinny13_50mL_DOM,Exp1_Pn-delicatissima_B_DOM_50
Pn_skinny13_50mL_unfil,Exp1_Pn-delicatissima_B_Unfil_50
Pn_multiseries_100mL_DOM,Exp1_Pn-multiseries_A_DOM_100
Pn_multiseries_50mL_DOM,Exp1_Pn-multiseries_A_DOM_50
Pn_multiseries_50mL_unfil,Exp1_Pn-multiseries_A_Unfil_50
Pn_subpacifico5_100mL_DOM,Exp1_Pn-subpacifica_A_DOM_100
