featureID,important_org,N,N/C,AI-mod,O,DBE,DBE/C
1,not,3,1.5,0,5,3,1.5
2,not,3,0.75,0,2,4,1
3,not,3,0.75,0,2,3.5,0.875
4,not,0,0,0,6,3.5,1.75
5,not,2,1,0,4,2,1
6,not,2,0.222222222,0.285714286,0,3,0.333333333
7,not,1,0.25,0.666666667,1,2.5,0.625
8,not,1,0.25,0.75,2,3,0.75
9,not,3,0.5,0.5,2,3.5,0.583333333
10,not,3,0.75,0,0,5,1.25
11,not,1,0.111111111,0,1,1,0.111111111
12,not,4,0.5,1.25,0,7,0.875
13,not,4,1.333333333,0,4,3,1
14,not,0,0,0.555555556,2,6,0.6
15,not,0,0,0.555555556,2,6,0.6
16,not,4,0.5,1,0,6,0.75
17,not,4,0.5,1,0,6,0.75
18,not,0,0,0,3,0,0
20,not,0,0,0,1,-0.5,-0.166666667
21,not,1,0.090909091,0.35,0,4,0.363636364
22,not,3,0.75,0,1,3.5,0.875
23,not,3,0.75,0,1,3.5,0.875
24,not,1,0.2,0.6,1,3,0.6
26,not,1,0.111111111,0.214285714,2,3,0.333333333
27,not,4,0.8,0,1,5,1
28,not,3,0.428571429,0.333333333,2,3.5,0.5
29,not,2,0.222222222,0.076923077,1,2,0.222222222
31,not,1,0.111111111,0.071428571,2,2,0.222222222
32,not,1,0.1,0,1,1,0.1
33,not,1,0.1,0,1,1,0.1
34,not,1,0.333333333,0,3,2.5,0.833333333
35,not,0,0,0,5,1,0.5
36,not,4,2,0,2,2,1
37,not,4,1,0,4,5,1.25
38,not,0,0,0.166666667,4,3,0.375
39,not,0,0,0.166666667,4,3,0.375
40,not,3,0.75,0,3,4,1
41,not,4,0.444444444,0.9,0,6.5,0.722222222
42,not,0,0,0.647058824,3,7,0.7
43,not,3,3,0,1,1,1
44,not,1,0.090909091,0.421052632,1,5,0.454545455
45,not,1,0.090909091,0.421052632,1,5,0.454545455
46,not,4,0.5,1,1,6,0.75
47,not,3,1.5,0,7,4,2
48,not,0,0,0,2,1.5,0.25
49,not,1,0.083333333,0.227272727,0,3,0.25
50,not,2,2,0,5,0,0
51,not,3,3,0,4,-0.5,-0.5
53,not,0,0,0.3,2,4,0.363636364
54,not,1,0.25,0,7,2,0.5
55,not,1,0.083333333,0.136363636,0,2,0.166666667
56,not,1,0.2,0.75,2,3.5,0.7
57,not,1,0.2,0.75,2,3.5,0.7
58,not,1,0.25,0,4,3.5,0.875
59,not,1,0.25,0,4,3.5,0.875
60,not,1,0.25,0,4,3.5,0.875
61,not,0,0,0.176470588,3,3,0.3
62,not,1,0.1,0.0625,2,2,0.2
63,not,1,0.083333333,0,0,0,0
64,not,0,0,0.5,4,3,0.75
65,not,2,0.666666667,0,3,3,1
66,not,3,1,0,2,2.5,0.833333333
67,not,3,1,0,2,2.5,0.833333333
68,not,1,0.111111111,0,3,2,0.222222222
69,not,1,0.1,0.8,3,8,0.8
70,not,0,0,0,3,0,0
71,not,1,0.083333333,0.380952381,1,5,0.416666667
72,not,1,0.083333333,0.380952381,1,5,0.416666667
74,not,2,0.4,6,3,6,1.2
75,not,0,0,0.28,1,4,0.307692308
76,not,1,0.090909091,0.388888889,2,5,0.454545455
77,not,1,0.090909091,0.388888889,2,5,0.454545455
78,not,4,0.571428571,0,2,-0.5,-0.071428571
79,not,0,0,0,7,1,0.5
80,not,0,0,0,5,0,0
81,not,1,0.166666667,0.666666667,2,4,0.666666667
82,not,2,0.5,0,3,2.5,0.625
83,not,5,0.555555556,0.375,0,4,0.444444444
84,not,4,1.333333333,0,2,5,1.666666667
85,not,1,0.2,0.5,6,4,0.8
86,not,2,0.333333333,0,5,-0.5,-0.083333333
87,not,1,0.090909091,0.166666667,2,3,0.272727273
88,not,1,0.090909091,0.166666667,2,3,0.272727273
89,not,1,0.083333333,0.095238095,1,2,0.166666667
90,not,0,0,1.086956522,1,13,1.083333333
91,not,1,0.125,0.777777778,1,5.5,0.6875
92,not,1,0.333333333,0,7,2,0.666666667
93,not,2,1,0,4,-0.5,-0.25
94,not,1,0.071428571,0.5,0,7,0.5
95,not,1,0.083333333,0,1,1,0.083333333
96,not,1,0.076923077,0,0,0,0
97,not,1,0.333333333,0,5,1,0.333333333
99,not,1,0.1,0,3,2,0.2
100,not,1,0.083333333,0,1,0,0
101,not,4,1.333333333,0,2,1,0.333333333
102,not,1,0.090909091,0.705882353,1,7.5,0.681818182
103,not,0,0,0.294117647,1,4,0.4
104,not,0,0,0.523809524,3,7,0.583333333
105,not,0,0,0.545454545,3,5,0.625
106,not,0,0,0.333333333,2,5,0.384615385
107,not,1,0.333333333,0,2,2.5,0.833333333
108,not,1,0.166666667,1.25,6,6,1
109,not,0,0,0,3,-0.5,-0.1
110,not,1,0.2,0,4,3.5,0.7
111,not,0,0,0.25,2,4,0.307692308
112,not,0,0,0.25,2,4,0.307692308
113,not,2,0.166666667,0.263157895,1,4,0.333333333
114,not,1,0.090909091,0.352941176,3,5,0.454545455
115,not,3,0.6,0,2,4,0.8
116,not,3,0.333333333,0.444444444,1,5,0.555555556
117,not,1,0.090909091,0.235294118,3,4,0.363636364
118,not,1,0.083333333,0.15,2,3,0.25
119,not,1,0.25,0,5,2,0.5
120,not,1,0.25,0,3,2,0.5
121,not,1,0.166666667,0.2,3,3,0.5
122,not,1,0.083333333,0.05,2,2,0.166666667
123,not,1,0.071428571,0,0,0,0
124,not,4,0.4,0.5,0,5,0.5
125,not,2,0.181818182,0,2,2,0.181818182
126,not,2,0.181818182,0,2,2,0.181818182
128,not,1,0.071428571,0.48,1,7,0.5
129,not,1,0.090909091,0,3,2,0.181818182
130,not,1,0.083333333,0,2,1,0.083333333
131,not,0,0,0.066666667,5,3,0.3
132,not,4,0.444444444,0.555555556,1,5,0.555555556
133,not,0,0,0.066666667,5,3,0.3
134,not,9,2.25,0,2,4,1
135,not,1,0.1,0,4,2,0.2
136,not,1,0.083333333,0,2,0,0
137,not,1,0.083333333,0.631578947,1,7.5,0.625
138,not,0,0,0.310344828,1,5,0.333333333
141,not,0,0,0.391304348,3,6,0.461538462
142,not,0,0,0,8,2,0.666666667
143,not,0,0,0,8,2,0.666666667
144,not,0,0,0.4,4,6,0.5
145,not,0,0,0.4,4,6,0.5
146,not,0,0,0.172413793,1,3,0.2
147,not,1,0.1,0,3,2,0.2
148,not,1,0.076923077,0.227272727,2,4,0.307692308
149,not,4,2,0,5,5,2.5
150,not,2,0.166666667,0.222222222,2,4,0.333333333
151,not,2,0.166666667,0.222222222,2,4,0.333333333
152,not,2,0.153846154,0.142857143,1,3,0.230769231
153,not,0,0,0,5,-0.5,-0.125
154,not,1,0.1,0.538461538,1,6,0.6
155,not,1,0.076923077,0.136363636,2,3,0.230769231
156,not,1,0.076923077,0.136363636,2,3,0.230769231
157,not,2,0.285714286,2.666666667,1,8,1.142857143
158,not,0,0,0,2,3,0.6
159,not,0,0,0.2,4,4,0.333333333
160,not,0,0,0.2,4,4,0.333333333
161,not,2,0.166666667,0.111111111,2,3,0.25
162,not,2,0.166666667,0.111111111,2,3,0.25
163,not,2,0.166666667,0.111111111,2,3,0.25
164,not,2,0.166666667,0.111111111,2,3,0.25
165,not,2,1,0,6,-0.5,-0.25
166,not,1,0.076923077,0.045454545,2,2,0.153846154
167,not,1,0.076923077,0.045454545,2,2,0.153846154
168,not,1,0.071428571,0,1,1,0.071428571
169,not,1,0.071428571,0,1,1,0.071428571
170,not,1,0.066666667,0,0,0,0
171,not,3,0.3,0.090909091,3,3.5,0.35
172,not,1,0.083333333,0,3,2,0.166666667
173,not,1,0.071428571,0,1,0,0
174,not,1,0.071428571,0,1,0,0
175,not,2,0.181818182,0,3,2,0.181818182
176,not,4,1.333333333,0,3,3.5,1.166666667
177,not,0,0,0.333333333,4,5,0.454545455
178,not,0,0,0.290322581,1,5,0.3125
179,not,1,0.1,1.083333333,2,10,1
180,not,1,0.25,0,7,3,0.75
181,not,1,0.1,0,5,2,0.2
182,not,1,0.090909091,0,2,1,0.090909091
183,not,0,0,0.285714286,2,5,0.333333333
184,not,2,0.666666667,0,5,2.5,0.833333333
185,not,0,0,0,8,2,0.5
186,not,0,0,0.28,3,5,0.357142857
187,not,4,0.363636364,0.846153846,1,8,0.727272727
188,not,0,0,0.272727273,4,5,0.384615385
189,not,0,0,0.272727273,4,5,0.384615385
190,not,0,0,0.272727273,4,5,0.384615385
191,not,0,0,0.272727273,4,5,0.384615385
192,not,0,0,0,6,0,0
193,not,1,0.2,0,6,4,0.8
194,not,1,0.076923077,0.19047619,3,4,0.307692308
195,not,2,0.181818182,0,2,0.5,0.045454545
196,not,1,0.066666667,0.074074074,1,2,0.133333333
197,not,0,0,0,7,2.5,0.833333333
